VarName,Index,SubIndex,ObjectCode,DataType,Default,Access,Description,Category,NonVolatile,DriveStatus,Effective,Min,Max,Unit,PDOMapping,Project_A01,InternalMapping
Controlword,0x6040,0x00,Val,UNS16,0x0,RW,402控制字,PDS_FSA,NO,Enable,立即,,,,RxPDO,1,Controlword
Statusword,0x6041,0x00,Val,UNS16,0x0,RO,402状态字,PDS_FSA,NO,Enable,只读,,,,TxPDO,1,Statusword
Error_code,0x603F,0x00,Val,UNS16,0x0,RO,错误码,PDS_FSA,NO,Enable,只读,,,,TxPDO,1,Error_word
Quick_stop_option_code,0x605A,0x00,Val,INTEGER16,0x2,RW,快速停止操作代码,PDS_FSA,YES,-,立即,,,,-,1,Quick_stop_option_code
Modes_of_operation,0x6060,0x00,Val,INTEGER8,0x0,RW,运行模式,PDS_FSA,NO,Enable,立即,,,,RxPDO,1,Modes_of_operation
Modes_of_operation_display,0x6061,0x00,Val,INTEGER8,0x0,RO,显示运行模式,PDS_FSA,NO,Enable,只读,,,,TxPDO,1,Modes_of_operation_display
Position_encoder_resolution,0x608F,0x00,Struct,UNS8,0x2,RO,,Factor_group,NO,-,只读,-,-,-,-,1,
Position_encoder_resolution_Encoder_increments,0x608F,0x01,Struct,UNS32,0x1000,RW,负载端位置反馈分辨率,Factor_group,YES,-,立即,1,4294967295,pulse,-,1,Load_Encoder_resolution
Position_encoder_resolution_Motor_revolutions,0x608F,0x02,Struct,UNS32,0x1,RW,电机端位置反馈分辨率,Factor_group,YES,-,立即,1,4294967295,pulse,-,1,Motor_Encoder_resolution
Gear_ratio,0x6091,0x00,Struct,UNS8,0x2,RO,,Factor_group,NO,-,只读,-,-,-,-,1,
Motor_revolutions,0x6091,0x01,Struct,UNS32,0x1,RW,齿轮比分母,Factor_group,YES,-,立即,1,4294967295,,-,1,Reduction_Ratio_den
Shaft_revolutions,0x6091,0x02,Struct,UNS32,0x1,RW,齿轮比分子,Factor_group,YES,-,立即,1,4294967295,,-,1,Reduction_Ratio_num
Polarity,0x607E,0x00,Val,UNS8,0x0,RW,运动极性,Factor_group,YES,-,立即,0,1,-,-,1,Polarity
Target_position,0x607A,0x00,Val,INTEGER32,0x0,RW,位置目标值,Profile_position_mode,NO,Enable,立即,-2147483648,2147483647,uu,RxPDO,1,Target_position
Position_range_limit,0x607B,0x00,Struct,UNS8,0x2,RO,,Profile_position_mode,NO,-,只读,-,-,-,-,1,
Position_range_limit_Minimal_position_limit,0x607B,0x01,Struct,INTEGER32,0x80000000,RW,位置溢出最小值,Profile_position_mode,YES,-,立即,-2147483648,2147483647,uu,RxPDO,1,Position_range_limit_Minimal_position_limit
Position_range_limit_Maximal_position_limit,0x607B,0x02,Struct,INTEGER32,0x7FFFFFFF,RW,位置溢出最大值,Profile_position_mode,YES,-,立即,-2147483648,2147483647,uu,RxPDO,1,Position_range_limit_Maximal_position_limit
Software_position_limit,0x607D,0x00,Struct,UNS8,0x2,RO,,Profile_position_mode,NO,-,只读,-,-,-,-,1,
