VariableName,NameZh,Category,Access,DataType,Dimension,DefaultValue,Unit,Index,Remarks,IsVisible,GodeGen,NonVolatile,AppParam,Min,Max,HighLevelParam,Cia402_ObjectDictionary_all
b,速度阻尼系数,PmsmConfig,RW,single,1,," Nm/(rad/s)",1,,Visible,1,,,,,,
fc,静摩擦大小,PmsmConfig,RW,single,1,," NM/(rad/s)",2,,Visible,1,,,,,,
flux,磁链系数,PmsmConfig,RW,single,1,," Wb",3,,Visible,1,,,,,,
j,转子惯量,PmsmConfig,RW,single,1,," kg.m^2",4,,Visible,1,,,,,,
ld,d定子电感,PmsmConfig,RW,single,1,," H",5,,Visible,1,,,,,,
lq,q定子电感,PmsmConfig,RW,single,1,," H",6,,Visible,1,,,,,,
peak_current,电机峰值电流,PmsmConfig,RW,single,1,," A",7,,Visible,1,,,,,,
pn,极对数,PmsmConfig,RW,single,1,," 对",8,,Visible,1,,,,,,
r,定子电阻,PmsmConfig,RW,single,1,," ohm",9,,Visible,1,,,,,,
rated_current,电机额定电流,PmsmConfig,RW,single,1,," A",10,,Visible,1,,,,,,
speed_max_rpm,电机最大转速,PmsmConfig,RW,single,1,," rpm",11,,Visible,1,,,,,,
i_abc_now_A,当前三相电流,ElecIdSinInput,RO,single,3,0,A,12,,Visible,1,,,,,,
state_now,激励信号状态标志位,ElecIdSinOutput,RO,int8,1,0,,13,"-2：辨识过程中检测电流过流，超过设定值的1.2倍
-1：激励信号错误，无法搜索到满足信噪比条件的激励信号
0：空闲状态，激励信号等待启动，重新使能电机进入电气辨识模式，将会重新复位该模块，状态从0开始
1：激励信号搜索阶段
2：激励信号稳定激励阶段，1->2上升沿时刻，立即开始离线波形采集
3：激励信号结束",Visible,1,,,,,,
dt_s,"运行周期
",ElecIdSinConfig,RW,single,1,0.0001,s,14,模块内部参数，由用户决定，一般和位置环控制频率同频,Visible,1,,,,,,
u_abc_tar_V,三相目标电压,ElecIdSinOutput,RO,single,3,0,V,15,,Visible,1,,,,,,
u_alpha_now_V,alpha轴当前电压 ,ElecIdSinOutput,RO,single,1,0,V,16,用于离线数据采集,Visible,1,,,,,,
i_alpha_now_A,alpha轴当前电流,ElecIdSinOutput,RO,single,1,0,A,17,用于离线数据采集,Visible,1,,,,,,
end_fs_Hz,终止频率,ElecIdSinConfig,RW,single,1,1,Hz,18,如果达到该频率 电流还没有达到目标值 则报错,Visible,1,,,,,,
i_max_A,"电气辨识最大电流
",ElecIdSinConfig,RW,single,1,1,A,19,辨识过程中超过设定的最大电流 1.2倍，则会立即停止辨识报错。一般该电流设置为电机额定电流,Visible,1,,,,,,
init_fs_Hz,初始激励频率,ElecIdSinConfig,RW,single,1,500,Hz,20,模块内部参数，一般不需要更改,Visible,1,,,,,,
target_time_s,激励信号持续时间,ElecIdSinConfig,RW,single,1,0.4,s,21,模块内部参数，根据硬件平台支持的离线波形采集最大时间来确定,Visible,1,,,,,,
u_max_V,电气辨识最大电压,ElecIdSinConfig,RW,single,1,12,V,22,辨识过程中激励电压最大值，一般设定为母线电压一半，如母线电压24V，该参数应当设定为12V,Visible,1,,,,,,
wait_time_s,激励信号自动调整等待时间,ElecIdSinConfig,RW,single,1,0.2,s,23,模块内部参数，一般不需要更改,Visible,1,,,,,,
iq_tar_A,目标力矩电流,MecIdOutput,RO,single,1,0,A,24,,Visible,1,,,,,,
